the_geom,county,city_village_or_cdp,housing_type,complex_address,units,acres,status,year,comment,conversion_date,cartodb_id,latitude,longitude,number,street,city,zip
0101000020E61000007B116DC7D43E52C05C3CBCE7C06E4440,Suffolk,Coram,APT,Homestead Dr.,100,,BUILT,1971,SRCIT-AFFORD,,1205,40.865262,-72.981737,,Homestead Dr,Coram,11727
0101000020E61000008448861C5B4152C0D120054F216F4440,Suffolk,Coram,COOP,655 Middle Country Rd,98,9,BUILT,1971,APTCONV,1986,1207,40.868204,-73.021186,655,Middle Country Rd,Coram,11727
0101000020E6100000B55208E4124052C082C7B7770D6C4440,Suffolk,Middle Island,COOP,Bailey Rd. & Currans Rd.,143,18.6,BUILT,1971,APTCONV,1980,1287,40.844161,-73.001153,,Blue Ridge Dr,Medford,11763
0101000020E610000000E48409A34752C03750E09D7C704440,Suffolk,Stony Brook,COND,Strathmore Gate & Stony Brk Rd,150,16,BUILT,1971,SRCIT,,1373,40.878803,-73.119326,,Stony Brook Rd,Stony Brook,11790
0101000020E6100000E0490B9755FC51C006651A4D2E844440,Suffolk,Montauk,COOP,126 S. Emerson Ave.,98,1.6,BUILT,1971,MOTELCONV,1984,1419,41.032663,-71.942724,126,S Emerson Ave,Montauk,11954
0101000020E6100000F64201DBC12252C0723788D68A6E4440,Suffolk,Hampton Bays,COOP,61 W. Tiana Rd.,31,2.4,BUILT,1971,MOTELCONV,1986,1769,40.863612,-72.543082,61,W Tiana Rd,Hampton Bays,11946
0101000020E6100000A59F70766B1F52C0E77283A10E714440,Suffolk,Hampton Bays,APT,324 W. Montauk Hwy.,16,1.1,BUILT,1971,MOTELCONV,1991,1780,40.883259,-72.490934,324,E Montauk Hwy,Hampton Bays,11946
0101000020E61000001BD31396786752C02BA391CF2B5A4440,Nassau,Hempstead,APT,"20,40 Gladys Ave.",30,1,BUILT,1972,AFFORD,,261,40.704462,-73.616735,20-40,Gladys Ave,Hempstead,11549
0101000020E6100000C328081EDF6752C0E7FC14C7815B4440,Nassau,Hempstead,APT,43 Burr Ave.,14,0.4,BUILT,1972,,,217,40.714898,-73.622993,43,Burr Ave,Hempstead,11550
0101000020E6100000C284D1AC6C6752C0971DE21FB65A4440,Nassau,Hempstead,APT,27 Attorney St.,20,0.7,BUILT,1972,,,225,40.708683,-73.616008,27,Attorney St,Hempstead,11550
0101000020E6100000B114C957026752C043E6CAA0DA5A4440,Nassau,Hempstead,APT,60 Hendrickson Ave.,34,0.9,BUILT,1972,,,230,40.709797,-73.609518,60,Hendrickson Ave,Hempstead,11550
0101000020E610000063B66455846252C03B71395E81584440,Nassau,North Bellmore,APT,2511 Jerusalem Ave.,14,,BUILT,1972,,,379,40.691448,-73.539327,2511,Jerusalem Ave,Bellmore,11710
0101000020E61000006E1805C1E36C52C06E13EE9579534440,Nassau,Valley Stream,APT,64 Gibson Blvd.,12,0.3,BUILT,1972,,,503,40.652148,-73.701401,64,Gibson Blvd,Valley Stream,11581
0101000020E6100000E9B985AE446952C0E486DF4DB74A4440,Nassau,Long Beach,COND,650 Shore Rd.,117,0.7,BUILT,1972,,,625,40.583719,-73.644817,650,Shore Rd,Long Beach,11561
0101000020E61000008FFAEB15166C52C07B336ABE4A5E4440,Nassau,New Hyde Park,APT,560 Lakeville Rd.,12,0.3,BUILT,1972,,,795,40.736656,-73.688848,560,Lakeville Rd,New Hyde Park,11040
0101000020E6100000A4FACE2F4A5F52C0AD6A494739684440,Nassau,Woodbury,APT,Fox Hollow Rd. & Jericho Tpke.,480,30,BUILT,1972,,,956,40.814248,-73.488903,,Fox Hollow Rd,Woodbury,11797
0101000020E6100000C1C58A1A4C5452C09A982EC4EA594440,Suffolk,Babylon,COND,Whaler's Cove Dr. & John St.,152,9.6,BUILT,1972,,,1056,40.702477,-73.317145,,John St,Babylon,11702
0101000020E61000007D21E4BCFF5552C0ADA415DF505A4440,Suffolk,West Babylon,APT,Phillip Walk & Little E. Neck,60,3.2,BUILT,1972,,,1148,40.705593,-73.343734,,Phillips Walk,West Babylon,11704
0101000020E61000004C5299620E5652C0983270404B5B4440,Suffolk,West Babylon,APT,642-668 Sunrise Hwy. & Strand,56,3.6,BUILT,1972,,,1167,40.713234,-73.344628,,Strand Pl,West Babylon,11704
0101000020E6100000E333D93F4F3F52C0AA7EA5F3E16F4440,Suffolk,Coram,APT,Country Club Dr. & Rte. 25,257,36.9,BUILT,1972,,,1198,40.874083,-72.989212,,Country Club Dr,Coram,11727
0101000020E61000009ED32CD0EE6752C03BDF4F8D976E4440,Nassau,Glen Cove,APT,6-14 Butler St.,64,,BUILT,1972,SRCIT-AFFORD,,19,40.864,-73.623951,14,Butler St,Glen Cove,11542
0101000020E610000025085740A16D52C04F0306499F5A4440,Nassau,Elmont,APT,132-158 Elmont Rd.,130,,BUILT,1972,SRCIT-AFFORD,,99,40.707986,-73.712967,158,Elmont Rd,Elmont,11003
0101000020E610000032E9EFA5F04252C02CF180B2296D4440,Suffolk,Selden,APT,111 College Rd. & Mooney Pond,240,17,BUILT,1972,,,1365,40.852835,-73.045938,,College Rd,Selden,11784
0101000020E61000002D9622F94A6852C024D3A1D3F35A4440,Nassau,Hempstead,APT,100 Terrace Ave.,422,3.9,BUILT,1972,AFFORD,,270,40.710566,-73.629576,100,Terrace Ave,Hempstead,11550
0101000020E61000006F641EF9836752C0C5707500C4594440,Nassau,Hempstead,APT,20 Totten St.,75,0.8,BUILT,1972,SRCIT-AFFORD,,291,40.701294,-73.61743,20,Totten St,Hempstead,11550
0101000020E610000058C9C7EE027052C02C103D29934E4440,Nassau,Inwood,APT,339 Bayview Ave.,17,,BUILT,1972,SRCIT-AFFORD,,317,40.613866,-73.750179,339,Bayview Ave,Inwood,11096
0101000020E610000058C9C7EE027052C02C103D29934E4440,Nassau,Inwood,APT,339 Bayview Ave.,28,,BUILT,1972,AFFORD,,318,40.613866,-73.750179,339,Bayview Ave,Inwood,11096
0101000020E6100000F8A92A34104752C0C310397D3D634440,Suffolk,Bohemia,APT,1314 Smithtown Ave.,54,5,BUILT,1972,,,1587,40.775314,-73.110364,1314,Smithtown Ave,Bohemia,11716
0101000020E61000005DE2C803915F52C05B24ED461F594440,Nassau,North Wantagh,APT,1150 Seamans Neck Rd.,144,,BUILT,1972,SRCIT-AFFORD,,389,40.696267,-73.493226,1150,Seamans Neck Rd,Wantagh,11793
0101000020E610000009185DDE1C4D52C00C923EADA2654440,Suffolk,Central Islip,APT,Coventry La. & Wheeler Rd.,90,8.3,BUILT,1972,,,1609,40.794027,-73.204887,,Coventry Ln,Central Islip,11722
0101000020E61000000AF31E679A4C52C06CE8667FA0664440,Suffolk,Central Islip,COND,Feller Dr. & Hawthorne Ave.,308,24.8,BUILT,1972,,,1621,40.801773,-73.196924,,Feller Dr,Central Islip,11722
0101000020E610000010CB660E494452C035F10EF0A4634440,Suffolk,Holbrook,APT,835 Broadway Ave.,56,4.9,BUILT,1972,,,1652,40.778471,-73.066959,835,Broadway Ave,Holbrook,11741
0101000020E61000008BE07F2BD94252C001A5A14621674440,Suffolk,Holtsville,COND,Storm Dr. & Waverly Ave.,287,25.2,BUILT,1972,,,1658,40.805703,-73.044505,,Storm Dr,Holtsville,11742
0101000020E61000006E13EE95794752C0B9347EE195664440,Suffolk,Ronkonkoma,APT,500 Peconic St. & 1st Ave.,540,49.5,BUILT,1972,,,1693,40.801449,-73.116796,,Peconic St,Ronkonkoma,11779
0101000020E6100000D4EFC2D66C6A52C07B14AE47E14A4440,Nassau,Long Beach,APT,35 E. Broadway,66,0.2,BUILT,1972,SRCIT-AFFORD,,589,40.585,-73.662893,35,E Broadway,Long Beach,11561
0101000020E6100000DB8827BB992B52C0B70DA32078644440,Suffolk,Westhampton,COND,539 Dune Rd.,37,1.9,BUILT,1972,,,1824,40.784916,-72.681258,539,Dune Rd,Westhampton Beach,11978
0101000020E6100000A4703D0AD76A52C046072461DF4A4440,Nassau,Long Beach,APT,175 W. Broadway,66,0.3,BUILT,1972,SRCIT-AFFORD,,621,40.584942,-73.669375,175,W Broadway,Long Beach,11561
0101000020E61000003AEAE8B81A6952C064CF9ECBD44A4440,Nassau,Long Beach,COOP,740 E. Broadway,98,0.8,BUILT,1972,APTCONV,1988,630,40.584619,-73.642256,740,E Broadway,Long Beach,11561
0101000020E6100000CC0C1B65FD6A52C02C9E7AA4C15F4440,Nassau,Garden City Park,APT,500 Denton Ave.,113,2.9,BUILT,1972,SRCIT-AFFORD,,656,40.748097,-73.671716,500,Denton Ave,New Hyde Park,11040
0101000020E610000032569BFF576D52C0CADE52CE17654440,Nassau,Manhasset,APT,155 East Shore Rd.,99,2,BUILT,1972,SRCIT-AFFORD,,745,40.789789,-73.708496,155,E Shore Rd,Manhasset,11030
0101000020E6100000BE688F17D26852C0F73FC05AB55F4440,Nassau,Mineola,COND,101 Jackson Ave.,60,0.8,BUILT,1972,APTCONV,2007,775,40.747722,-73.637823,101,Jackson Ave,Mineola,11501
0101000020E6100000CE18E6046D6C52C0301004C8D06B4440,Nassau,Port Washington,APT,Bay Green La. & Harbor Rd.,88,4,BUILT,1972,AFFORD,,819,40.842309,-73.694154,,Bay Green Ln,Port Washington,11050
0101000020E6100000C826F911BF5E52C05AF624B0395F4440,Nassau,Bethpage,APT,7 Burkhardt Ave.,37,1.6,BUILT,1972,SRCIT-AFFORD,,872,40.743948,-73.480412,7,Burkhardt Ave,Bethpage,11714
0101000020E6100000E9D32AFA435B52C01FBDE13E72554440,Nassau,East Massapequa,APT,"530 Clocks Blvd., 20 Lake St.",75,2.8,BUILT,1972,SRCIT-AFFORD,,877,40.667549,-73.426024,530,Clocks Blvd,Massapequa,11758
0101000020E61000002D5A80B6D56252C042B0AA5E7E5B4440,Nassau,Hicksville,APT,355 Newbridge Rd.,72,2.9,BUILT,1972,SRCIT-AFFORD,,921,40.714794,-73.544294,355,Newbridge Rd,East Meadow,11554
0101000020E610000033EB7BC3336052C056DEE929CD694440,Nassau,Syosset,APT,40 Eastwoods Rd.,96,4.7,BUILT,1972,SRCIT-AFFORD,,954,40.8265736,-73.5031594,40,Muttontown Eastwoods Rd,Oyster Bay,11581
0101000020E6100000F1F44A59864152C06FBBD05CA76F4440,Suffolk,Coram,COND,"Freemont La.& Old Town, C.R.83",175,18.6,BUILT,1972,SRCIT,,1216,40.872295,-73.023825,,Freemont Ln,Coram,11727
0101000020E6100000D5EC8156604052C0A9F6E978CC704440,Suffolk,Coram,COOP,Highview Terrace & Mooney Pond,366,39.1,BUILT,1972,APTCONV,1988,1221,40.88124,-73.00588,,,Coram,11727
